#Table1
objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237646381542802123,94.9372490973562,0.426849837907164,16.83226,15.54497,15.32333,15.29553,15.22289,211,301,5,360,1417550363086579712,STAR,6.809406E-05,1259,52931,154
1237646381542802267,94.9502743874924,0.49099346607988,18.60203,17.0015,16.70114,16.58815,16.47389,211,301,5,360,1417541292115650560,STAR,0.0001914188,1259,52931,121
1237646381542867136,94.9862754512408,0.462755207549653,19.01501,17.34647,17.01908,16.88875,16.76277,211,301,5,361,1417541566993557504,STAR,0.0001588139,1259,52931,122
1237646381542867245,95.0026284063513,0.439155170285912,18.96944,17.39834,17.09692,16.97927,16.86172,211,301,5,361,1417545415284254720,STAR,0.0002487723,1259,52931,136
1237646381542933213,95.2384877550966,0.522283042115887,18.50328,16.80843,16.37821,16.19013,16.00962,211,301,5,362,1417545965040068608,STAR,4.413321E-06,1259,52931,138
1237646381542998673,95.3890671359407,0.578667738413553,19.26527,17.52949,17.07929,16.89643,16.70403,211,301,5,363,1417639148650522624,STAR,0.0001540117,1259,52931,477
1237646381543063592,95.4309544571045,0.514858133159318,18.69613,17.11757,16.72629,16.55408,16.39483,211,301,5,364,1417534695045883904,STAR,0.0001532753,1259,52931,97
1237646381543063809,95.4631234794383,0.423128145804491,18.58406,17.00747,16.70864,16.62575,16.49165,211,301,5,364,1417534969923790848,STAR,0.0002058098,1259,52931,98
1237646381543063904,95.4837355583199,0.528364760653242,19.10814,17.47881,16.89779,16.6436,16.50154,211,301,5,364,1417642722063312896,STAR,0.0001795616,1259,52931,490
1237646381543063953,95.4834144223355,0.561495602677396,19.49383,17.83158,17.28235,17.0308,16.85097,211,301,5,364,1417641622551685120,STAR,0.0001145711,1259,52931,486
1237646381543064354,95.5444339927933,0.420394169586439,18.66563,17.22367,16.95071,16.85968,16.81009,211,301,5,364,1417534145290070016,STAR,0.0001397604,1259,52931,95
1237646381543064393,95.5511797113458,0.594169265902921,17.25711,15.61862,15.26411,15.12534,15.23013,211,301,5,364,1417642996941219840,STAR,0.0002285854,1259,52931,491
1237646381543065258,95.4961657036735,0.588381202029488,19.45985,17.74878,17.23679,17.00379,16.80161,211,301,5,364,1417641347673778176,STAR,0.0001165997,1259,52931,485
1237646381543129222,95.5930798451463,0.519759329022043,18.95968,17.4355,17.08788,16.93121,16.77718,211,301,5,365,1417655641324939264,STAR,0.0001946745,1259,52931,537
1237646381543129429,95.6287162351304,0.552083069138377,18.25908,16.96885,16.6038,16.46867,16.32395,211,301,5,365,1417656465958660096,STAR,0.0002259272,1259,52931,540
1237646381543129698,95.6781346620572,0.450295139525871,18.32321,16.6338,16.23536,16.06621,15.9324,211,301,5,365,1417655366447032320,STAR,0.0001303633,1259,52931,536
1237646381543129759,95.6871881732179,0.568587038772158,18.63447,16.81266,16.2981,16.07833,15.87862,211,301,5,365,1417655091569125376,STAR,0.0001054688,1259,52931,535
1237646381543195267,95.8435401955412,0.560050033478404,18.25515,16.49706,15.61909,15.16848,14.88882,211,301,5,366,1417654266935404544,STAR,0.0002240925,1259,52931,532
1237646381543260744,95.955502461423,0.420125114113739,17.36212,15.9069,15.5216,15.35418,15.20343,211,301,5,367,1417655916202846208,STAR,0.0001479294,1259,52931,538
1237646381543261157,96.0081408448401,0.520645977800977,18.6527,17.6822,19.21713,16.95719,16.39001,211,301,5,367,1417662788150519808,STAR,0.0002024669,1259,52931,563
1237646381543325835,96.0277899893366,0.509547308750141,17.27788,15.63853,15.29246,15.15025,15.025,211,301,5,368,1417663063028426752,STAR,0.0001915002,1259,52931,564
1237646381543325839,96.0290253169294,0.589748098353904,17.61158,15.86968,15.39163,15.18249,15.02199,211,301,5,368,1417663337906333696,STAR,0.0001121919,1259,52931,565
1237646381543325905,96.0367048892692,0.468477888512144,18.80263,17.18342,16.77893,16.59879,16.44357,211,301,5,368,1417663887662147584,STAR,0.0001164337,1259,52931,567
1237646381543325913,96.0372519390972,0.558609201142098,18.79584,17.11262,16.69115,16.51002,16.334,211,301,5,368,1417667186197030912,STAR,0.0001153387,1259,52931,579
1237646381543326009,96.0488796388335,0.580537950140737,17.75344,16.01047,15.51287,15.29505,15.12461,211,301,5,368,1417664162540054528,STAR,0.0001128637,1259,52931,568
1237646381543326287,96.115938916009,0.56963957528897,18.93719,16.56962,15.48036,15.06133,14.81821,211,301,5,368,1417666911319123968,STAR,0.0001179317,1259,52931,578
1237646381543326542,96.1220390120005,0.522093903175131,17.64937,15.97161,15.56323,15.38022,15.24003,211,301,5,368,1417665811807496192,STAR,0.0002101202,1259,52931,574
1237646381543326601,96.1294740164279,0.463706637193709,17.80049,16.07006,15.59613,15.39318,15.23292,211,301,5,368,1417667461074937856,STAR,0.0001405183,1259,52931,580
1237646381543326833,96.1680877224072,0.523330492277746,17.59094,15.94305,15.5397,15.36399,15.19598,211,301,5,368,1417673508388890624,STAR,8.0479E-05,1259,52931,602
1237646381543327292,96.0625994980127,0.438141352562931,19.5185,17.76141,17.28286,17.06664,16.90568,211,301,5,368,1417665536929589248,STAR,0.0001336562,1259,52931,573
1237646381543327768,96.1338671585869,0.489714414434236,19.35614,17.61792,17.14062,16.90602,16.75252,211,301,5,368,1417666636441217024,STAR,5.843689E-05,1259,52931,577
1237646381543391529,96.2076283489612,0.525075427316767,17.98662,16.31779,15.93669,15.77361,15.65163,211,301,5,369,1417676532045867008,STAR,0.0001245889,1259,52931,613
1237646381543391575,96.2143318991923,0.548006884557034,18.97108,17.36816,17.00725,16.84802,16.69489,211,301,5,369,1417675432534239232,STAR,0.0001802205,1259,52931,609
1237646381543391583,96.2186812662808,0.501829752945116,17.8195,16.23672,15.8719,15.69587,15.52072,211,301,5,369,1417678456191215616,STAR,8.23997E-05,1259,52931,620
1237646381543391627,96.224233544456,0.579467036655778,18.17291,16.53512,16.09147,15.95605,15.76946,211,301,5,369,1417678181313308672,STAR,0.0001806021,1259,52931,619
1237646381543391669,96.2348983875229,0.423975693009173,17.25586,15.61591,15.23917,15.08549,14.96183,211,301,5,369,1417676257167960064,STAR,-7.224854E-06,1259,52931,612
1237646381543392145,96.2904042965798,0.51442542750108,18.98555,17.5356,16.88702,16.57191,16.35599,211,301,5,369,1417673783266797568,STAR,-3.101612E-05,1259,52931,603
1237646381543392238,96.3033112268421,0.573874421284123,18.77757,17.19927,16.88318,16.74328,16.62185,211,301,5,369,1417674058144704512,STAR,0.0001470337,1259,52931,604
1237646381543392348,96.3154846881067,0.492193177473806,18.74846,17.1299,16.80702,16.66729,16.58632,211,301,5,369,1417676806923773952,STAR,4.683716E-05,1259,52931,614
1237646381543457037,96.3463631640545,0.54449254724779,18.30842,16.74553,16.13087,15.86162,15.67015,211,301,5,370,1417677081801680896,STAR,-5.982148E-06,1259,52931,615
1237646382079344941,94.1002598196043,0.887737733996547,17.80895,16.50277,16.38258,16.38958,16.3496,211,301,6,355,1417609736714479616,STAR,0.0001565262,1259,52931,370
1237646382079345434,94.1777951492365,0.891131259579838,17.69851,16.2152,16.04205,16.00999,15.95449,211,301,6,355,1417610011592386560,STAR,0.0001580713,1259,52931,371
1237646382079410288,94.234069518154,0.851906071532637,18.52553,17.03238,16.85107,16.81772,16.75011,211,301,6,356,1417608637202851840,STAR,0.0001643789,1259,52931,366
1237646382079475776,94.3816607041047,0.942048616777287,17.68669,16.2624,16.12234,16.09487,16.03698,211,301,6,357,1417608362324944896,STAR,0.0002561817,1259,52931,365
1237646382079476040,94.4098694603181,0.934068419488912,18.83441,17.30827,17.13613,17.08087,17.01908,211,301,6,357,1417609186958665728,STAR,0.0001124597,1259,52931,368
1237646382079476277,94.433690219853,0.972052206935827,18.79271,17.0423,16.26496,15.91869,15.74185,211,301,6,357,1417612485493549056,STAR,0.0001368872,1259,52931,380
1237646382079476342,94.4436365983993,0.852922385903225,18.438,16.98621,16.83219,16.81224,16.79249,211,301,6,357,1417612210615642112,STAR,0.0001436768,1259,52931,379
1237646382079476799,94.4988186668859,0.989660893103034,18.09839,16.7229,16.13046,15.87395,15.6924,211,301,6,357,1417611111104014336,STAR,1.952831E-05,1259,52931,375
1237646382079476967,94.5183336136453,0.839123718222903,18.66632,17.20002,17.04716,17.02973,16.97475,211,301,6,357,1417622655976105984,STAR,0.0001941249,1259,52931,417
1237646382079477651,94.4806502075398,1.00205915535226,19.42064,17.82483,17.0706,16.7584,16.54133,211,301,6,357,1417607537691224064,STAR,0.0002820303,1259,52931,362
1237646382079541340,94.5317478520563,0.928831929962996,17.79365,16.34339,15.96839,16.11843,15.72173,211,301,6,358,1417621281586571264,STAR,8.396233E-05,1259,52931,412
1237646382079541357,94.5320761563528,0.87723017341789,17.60406,16.05053,15.6941,15.82955,15.44363,211,301,6,358,1417621831342385152,STAR,8.802761E-05,1259,52931,414
1237646382079541631,94.5704586029465,0.997188228819931,18.69618,17.23645,16.63734,16.35796,16.14807,211,301,6,358,1417620456952850432,STAR,0.0002529922,1259,52931,409
1237646382079541699,94.5779976177799,0.877346809189994,18.28783,16.75007,16.42278,16.31002,16.22085,211,301,6,358,1417623205731919872,STAR,0.0001304375,1259,52931,419
1237646382079541912,94.5932656712725,0.94895974171945,19.05359,17.62755,17.16829,16.96772,16.8418,211,301,6,358,1417619907197036544,STAR,9.675207E-05,1259,52931,407
1237646382079541994,94.6040735464675,0.925177408268303,17.9441,16.4345,15.99379,15.80487,15.69043,211,301,6,358,1417618807685408768,STAR,5.405584E-05,1259,52931,403
1237646382079542274,94.6369813351777,0.974962988354251,17.14729,15.61818,15.41421,15.62225,15.27046,211,301,6,358,1417598466720294912,GALAXY,0,1259,52931,329
1237646382079606869,94.6794989887317,0.842321009604755,18.47695,16.94897,16.68126,16.59887,16.51747,211,301,6,359,1417632001824942080,STAR,0.0002067829,1259,52931,451
1237646382079607640,94.8136172492518,0.864159159689183,16.59753,15.22174,14.99648,14.93687,14.85173,211,301,6,359,1417633651092383744,STAR,0.0001521183,1259,52931,457
1237646382079607680,94.8133301930155,0.980798042570744,17.26491,16.00246,15.79299,15.68303,15.66872,211,301,6,359,1417629527923779584,STAR,0.0001568349,1259,52931,442
1237646382079672552,94.8610824394032,0.898412512268471,19.07524,17.7593,16.9488,16.63678,16.42654,211,301,6,360,1417634475726104576,STAR,0.0002489523,1259,52931,460
1237646382079672588,94.8725098852256,0.838282236847599,17.95106,16.34713,15.94763,15.79226,15.67866,211,301,6,360,1417632551580755968,STAR,7.648661E-05,1259,52931,453
1237646382079672642,94.8838870397962,0.990685512386924,17.03847,15.47224,15.10297,14.97051,14.88297,211,301,6,360,1417631177191221248,STAR,1.177334E-05,1259,52931,448
1237646382079672786,94.9153668590344,0.945378900019097,18.39684,16.85855,16.57424,16.48492,16.37063,211,301,6,360,1417631452069128192,STAR,0.0001355361,1259,52931,449
1237646382079738335,95.0387267570219,0.908545742276297,18.90392,17.22835,16.88944,16.76901,16.66028,211,301,6,361,1417638873772615680,STAR,0.0001835092,1259,52931,476
1237646382079738484,95.0914112079307,0.963893843989823,18.87002,17.05878,16.19566,15.7946,15.59423,211,301,6,361,1417638049138894848,STAR,0.0001129468,1259,52931,473
1237646382079738485,95.0693820734873,0.967119305374225,18.74394,17.15325,16.83968,16.71426,16.59256,211,301,6,361,1417637774260987904,STAR,0.0001387192,1259,52931,472
1237646382079803959,95.2219504907333,0.868323529129275,18.73745,17.17706,16.44903,16.12138,15.88933,211,301,6,362,1417637224505174016,STAR,0.0001051193,1259,52931,470
1237646382079803986,95.2261260646288,0.957250972772023,19.06613,17.34293,16.72245,16.43074,16.22178,211,301,6,362,1417636399871453184,STAR,7.160752E-05,1259,52931,467
1237646382079803989,95.2281794506297,0.891174873178981,18.6706,16.99171,16.56165,16.38384,16.19722,211,301,6,362,1417635025481918464,STAR,0.0001426768,1259,52931,462
1237646382079804054,95.2428866134489,0.970593395971388,17.70423,15.86547,15.29097,15.01794,14.82418,211,301,6,362,1417635300359825408,STAR,0.0001180047,1259,52931,463
1237646382079804099,95.2700411580229,0.858987207230547,18.66571,16.94823,16.53554,16.35474,16.18672,211,301,6,362,1417639423528429568,STAR,0.0001628164,1259,52931,478
1237646382079804742,95.1828002417581,1.00530096700723,19.22186,17.43544,16.93804,16.69567,16.53674,211,301,6,362,1417634750604011520,STAR,8.162519E-05,1259,52931,461
1237646382079805324,95.2660485187715,0.940066573809983,19.25114,17.48392,16.90086,16.62302,16.42503,211,301,6,362,1417637499383080960,STAR,0.0001299768,1259,52931,471
1237646382079869048,95.2870985573816,0.966918446032578,18.84067,17.15699,16.6308,16.37362,16.20866,211,301,6,363,1417641072795871232,STAR,7.416188E-05,1259,52931,484
1237646382079869104,95.2993636369215,0.890374687787888,18.72799,17.11779,16.48396,16.15507,15.94641,211,301,6,363,1417643271819126784,STAR,8.62891E-05,1259,52931,492
1237646382079869603,95.3923418734585,0.919354746079895,17.47349,15.74609,15.22986,15.0143,14.84528,211,301,6,363,1417643821574940672,STAR,7.752631E-05,1259,52931,494
1237646382079869702,95.410011611339,0.838141218051057,17.91277,16.32434,15.58422,15.25003,15.03421,211,301,6,363,1417645195964475392,STAR,0.0001847543,1259,52931,499
1237646382079934757,95.4782495376182,0.842532115218305,18.74132,17.29397,16.92432,16.83919,16.63634,211,301,6,364,1417640797917964288,STAR,0.0001578305,1259,52931,483
1237646382079934844,95.4875103452873,0.92531189805077,18.73705,17.06851,16.68374,16.52062,16.36351,211,301,6,364,1417640248162150400,STAR,0.0001311639,1259,52931,481
1237646382079934911,95.5021878262306,0.963263450329101,17.76895,16.28859,15.89664,15.73424,15.52795,211,301,6,364,1417653992057497600,STAR,0.0001736676,1259,52931,531
1237646382079935021,95.5295163808575,0.970692871301128,18.14242,16.30503,15.76425,15.50117,15.26982,211,301,6,364,1417652067912148992,STAR,9.752477E-05,1259,52931,524
1237646382079935586,95.4606981528366,0.870409417694018,19.31363,17.59785,17.14318,16.95871,16.77838,211,301,6,364,1417642447185405952,STAR,0.0001476643,1259,52931,489
1237646382080000028,95.5718908072134,0.953216650773059,18.65735,17.15746,16.70656,16.49734,16.32541,211,301,6,365,1417651518156335104,STAR,0.0001840082,1259,52931,522
1237646382080000047,95.5763349688381,0.988936063296223,18.23109,16.5295,16.04592,15.82595,15.61837,211,301,6,365,1417653717179590656,STAR,0.0001240066,1259,52931,530
1237646382080000397,95.6653409900366,0.880276948063463,18.3962,16.77513,16.34279,16.14446,15.98003,211,301,6,365,1417651243278428160,STAR,0.0002163072,1259,52931,521
1237646382080000516,95.6989554117637,0.975633624288684,18.94802,17.21039,16.73198,16.487,16.31816,211,301,6,365,1417651793034242048,STAR,0.0002721256,1259,52931,523
1237646382080001750,95.7115214254621,0.941153021889198,19.53724,17.72064,17.18238,16.93931,16.73787,211,301,6,365,1417653442301683712,STAR,0.0001504173,1259,52931,529
1237648705126924431,212.956273596424,0.554801292113863,19.56446,18.7037,18.38892,18.28813,18.22342,752,301,5,464,4542118363011504128,STAR,-6.367115E-05,4034,55635,866
1237648705127448627,214.184711691309,0.428479939983851,17.73579,16.6547,16.28872,16.17036,16.12519,752,301,5,472,342375028622387200,STAR,5.669787E-05,304,51609,369
1237648705128759533,217.206164023508,0.625450049967981,18.59596,17.54691,17.12279,16.83825,16.64546,752,301,5,492,344631501830252544,GALAXY,0.05125462,306,51637,386
1237648705128759433,217.157672991975,0.553150243165817,16.46638,15.24315,14.69397,14.42222,14.21195,752,301,5,492,343533913945171968,GALAXY,0.005144823,305,51613,489
1237648705128759351,217.205530311396,0.440831965305945,18.48909,17.58908,17.3275,17.23541,17.21278,752,301,5,492,344634250609321984,STAR,0.0001242268,306,51637,396
1237648705128693852,217.109513457179,0.487590961954653,18.87941,17.66912,17.88628,18.06405,18.15466,752,301,5,491,343533639067265024,STAR,0.0002033354,305,51613,488
1237648705128693775,217.005297154387,0.596629453841512,19.23011,17.96754,17.27341,16.84882,16.57591,752,301,5,491,343536937602148352,GALAXY,0.1255599,305,51613,500
1237648705128628476,216.974012806508,0.569608201038523,18.61331,16.67267,15.74967,15.34809,15.05085,752,301,5,490,344619682080253952,GALAXY,0.08527369,306,51637,343
1237648705128628431,216.944986546221,0.479067022737757,19.45987,19.41481,18.97125,18.88685,18.95975,752,301,5,490,343530065654474752,QSO,1.259974,305,51613,475
1237648705128628351,216.989338833273,0.58894274484703,18.79066,17.31443,16.69324,16.33189,16.10482,752,301,5,490,343527041997498368,GALAXY,0.08430807,305,51613,464
1237648705128562895,216.845080401401,0.524100017669341,18.27313,17.24848,17.68825,16.50959,16.27789,752,301,5,489,344621331347695616,STAR,-0.0004960411,306,51637,349
1237648705128366394,216.394907000947,0.623853859502401,19.49133,17.7549,16.74575,16.31538,15.97677,752,301,5,486,343514397613778944,GALAXY,0.1261699,305,51613,418
1237648705128366372,216.376505882044,0.49620592173201,19.31699,18.24649,17.72705,17.38066,17.20282,752,301,5,486,343512198590523392,GALAXY,0.1083593,305,51613,410
1237648705128366281,216.298698783867,0.461416255641858,19.03006,18.0001,17.72325,17.47507,17.40223,752,301,5,486,343514672491685888,GALAXY,0.05201893,305,51613,419
1237648705128235259,216.046419141847,0.6198396441701,19.08105,17.75767,17.09697,16.74135,16.50803,752,301,5,484,343499554206803968,GALAXY,0.1030362,305,51613,364
1237648705128169648,215.866769084699,0.489323977999024,19.47722,17.74906,17.11098,16.75935,16.551,752,301,5,483,342440449564239872,STAR,0.0001026196,304,51609,607
1237648705128169588,215.916910108842,0.498637272443647,19.09249,17.18096,16.45876,16.1816,16.01656,752,301,5,483,342439350052612096,STAR,8.429565E-05,304,51609,603
1237648705129414741,218.729172109061,0.458112049320336,16.97457,15.7859,15.32505,15.16091,15.08877,752,301,5,502,345758776562837504,STAR,-5.700218E-06,307,51663,391
1237648705128169580,215.916643429835,0.540587619520908,17.67701,16.54149,16.11087,15.9431,15.85877,752,301,5,483,343488284212619264,STAR,0.0002754756,305,51613,323
1237648705128169576,215.91294362169,0.625841362397196,18.34708,17.40211,17.11152,16.92162,16.80872,752,301,5,483,343487734456805376,STAR,4.407895E-06,305,51613,321
1237648705128169568,215.881133602269,0.456069262389386,17.97028,16.95976,16.55526,16.34813,16.20068,752,301,5,483,342440724442146816,STAR,1.359546E-05,304,51609,608
1237648705128169562,215.871423919535,0.593400099608623,19.04916,16.881,16.0105,15.76395,15.52504,752,301,5,483,342439899808425984,STAR,-0.000112271,304,51609,605
1237648705128169557,215.868761947688,0.561058253668938,18.83681,17.87778,17.62745,17.37776,17.26884,752,301,5,483,342439624930519040,STAR,-0.0005264996,304,51609,604
1237648705128169549,215.85677430635,0.481687507008725,18.06444,16.74513,16.18399,15.9896,15.77774,752,301,5,483,343489658602153984,STAR,0.0003691701,305,51613,328
1237648705128169523,215.827259013062,0.437455404602443,18.30695,17.20673,16.79316,16.5725,16.3738,752,301,5,483,342431653471217664,STAR,-0.0001336622,304,51609,575
1237648705129807921,219.582247044156,0.595887056843413,17.89559,16.71264,16.2921,16.1399,16.07841,752,301,5,508,345778292894230528,STAR,7.054803E-05,307,51663,462
1237648705128104164,215.761336381954,0.443042260963818,19.55217,18.32304,17.86943,17.46306,17.21727,752,301,5,482,342430279081682944,STAR,-8.105292E-05,304,51609,570
1237648705128104145,215.724693047304,0.621579668930717,19.17536,17.73812,16.92164,16.28924,15.93666,752,301,5,482,343492957137037312,GALAXY,0.170104,305,51613,340
1237648705128104133,215.710898748076,0.534501234219552,19.33368,18.219,17.73709,17.33596,17.19493,752,301,5,482,342418184453777408,GALAXY,0.1537792,304,51609,526
1237648705128104116,215.69163342737,0.503772730815731,19.28612,17.40576,16.34244,15.69377,15.31445,752,301,5,482,342419009087498240,GALAXY,0.1671632,304,51609,529
1237648705127907574,215.320800078389,0.463793058908584,19.24232,18.08047,17.68805,17.74941,17.51387,752,301,5,479,343488833968433152,STAR,4.219572E-05,305,51613,325
1237648705127907521,215.26669210037,0.451178129910354,18.86848,17.9342,17.54343,17.25984,17.16599,752,301,5,479,342402516413081600,GALAXY,0.1515603,304,51609,469
1237648705127907496,215.242813308241,0.497569854351338,19.45887,18.06046,17.16598,16.67196,16.34935,752,301,5,479,342400867145639936,GALAXY,0.15192,304,51609,463
1237648705127907471,215.20719037072,0.546925730452852,19.3428,18.81997,18.77502,18.48443,18.53374,752,301,5,479,342402241535174656,QSO,1.596405,304,51609,468
1237648705127776562,215.042417587747,0.478767838838027,19.36201,17.98912,17.24744,16.86707,16.61696,752,301,5,477,342398943000291328,GALAXY,0.1375907,304,51609,456
1237648705127776440,215.048379628717,0.620017682738975,18.91763,18.20245,18.17717,18.1769,18.28021,752,301,5,477,342397293732849664,QSO,0.7263246,304,51609,450
1237648705127776429,215.043659184285,0.572220519003998,19.00038,18.46169,18.35002,18.48469,18.4201,752,301,5,477,342394819831687168,QSO,0.9287443,304,51609,441
1237648705127710869,214.778927423997,0.602646486132587,19.51418,17.69001,16.7824,16.3598,16.14844,752,301,5,476,341317848292943872,GALAXY,0.1008734,303,51615,619
1237648705127710772,214.82804493332,0.430648404812088,18.89051,17.42338,16.85839,16.64739,16.94267,752,301,5,476,342387398128199680,STAR,-0.0001317404,304,51609,414
1237648705127645606,214.715807606163,0.60380434483738,19.03923,17.92844,17.40161,17.16085,17.00086,752,301,5,475,341317023659223040,GALAXY,0.05325994,303,51615,616
1237648705127645437,214.749890972981,0.563518388961809,18.05187,17.08944,16.71369,16.44351,16.39968,752,301,5,475,341321421705734144,GALAXY,0.05346759,303,51615,632
1237648705127645407,214.704334386995,0.474987851110113,18.8904,17.77925,17.19017,16.86358,16.72712,752,301,5,475,341308502444107776,GALAXY,0.05265518,303,51615,585
1237648705127645405,214.702762129327,0.496449859403659,18.51891,17.25058,16.68086,16.34006,16.16329,752,301,5,475,342386848372385792,GALAXY,0.05325393,304,51609,412
1237648705127645266,214.694472487298,0.560687767365133,18.92915,17.94326,17.4894,17.189,17.15959,752,301,5,475,341309052199921664,GALAXY,0.05299084,303,51615,587
1237648705127645237,214.665231216907,0.531755259981365,18.922,18.62193,18.44758,18.48919,18.64995,752,301,5,475,341309327077828608,STAR,-0.0003243316,303,51615,588
1237648705127579887,214.573906154508,0.592290809602603,19.46378,18.49745,17.66712,17.25874,17.03019,752,301,5,474,341316473903409152,GALAXY,0.1218743,303,51615,614
1237648705127579858,214.536707050553,0.486773926933345,19.23876,17.94606,17.05773,16.65038,16.3473,752,301,5,474,341307952688293888,GALAXY,0.0539526,303,51615,583
1237648705127579837,214.509058591385,0.484231223262378,19.20536,17.57199,16.39611,15.97055,15.63163,752,301,5,474,341299431473178624,GALAXY,0.05278205,303,51615,552
1237648705127579813,214.475737898474,0.461416867189571,19.41222,17.62123,16.46192,15.9874,15.59551,752,301,5,474,341298606839457792,GALAXY,0.05455462,303,51615,549
1237648703509102769,196.554898171107,-0.66414693910295,19.00659,17.46996,16.69207,16.29661,16.01036,752,301,2,354,331066557855721472,GALAXY,0.08398743,294,51986,189
1237648703509102812,196.612641295605,-0.806040928321794,18.73435,16.83528,15.89845,15.49562,15.14348,752,301,2,354,331052539082467328,GALAXY,0.08417733,294,51986,138
1237648703509168211,196.74791204033,-0.649635750084524,17.63516,16.40803,15.98817,15.83392,15.78329,752,301,2,355,3294464293998716928,GALAXY,0,2926,54625,295
1237648703509299300,197.051166947777,-0.800848264862705,17.83527,16.58212,16.1821,16.04291,16.0348,752,301,2,357,3294462094975461376,STAR,4.036106E-05,2926,54625,287
1237648703510282273,199.261975717899,-0.801566130517076,17.52931,16.44299,16.07379,15.93406,15.88521,752,301,2,372,332158098007418880,STAR,-0.0001316473,295,51985,64
1237648703510282305,199.324441562815,-0.815717584158679,16.04225,14.93772,14.58134,14.4675,14.44013,752,301,2,372,333350243473057792,STAR,0.0001968318,296,51984,305
1237648703510937836,200.80737308944,-0.682024497800219,18.82022,17.77765,17.38575,17.11128,16.9354,752,301,2,382,334473669059307520,GALAXY,0.08636355,297,51959,296
1237648703510872314,200.676360971489,-0.663860352596667,19.30794,19.04743,19.00151,18.79761,18.77819,752,301,2,381,333283997897484288,QSO,1.582299,296,51984,64
1237648703510872275,200.645365178566,-0.679718876633473,17.47912,16.09549,15.40855,15.05322,14.76498,752,301,2,381,333296642281203712,GALAXY,0.04545274,296,51984,110
1237648703510806859,200.516290971261,-0.821518935463868,19.22735,18.15251,17.73294,17.46182,17.33928,752,301,2,380,333267780100974592,GALAXY,0.07863385,296,51984,5
1237648703510806850,200.497404345179,-0.660242962434434,19.27074,18.33159,17.72468,17.41358,17.25731,752,301,2,380,333295267891668992,GALAXY,0.1808268,296,51984,105
1237648703510806829,200.482474510396,-0.638688423807733,19.04042,17.03662,15.97321,15.5237,15.10743,752,301,2,380,333298016670738432,GALAXY,0.1084637,296,51984,115
1237648703510741275,200.252361777798,-0.747640538920195,19.59779,18.18178,17.48014,17.09177,16.8099,752,301,2,379,333315333978875904,GALAXY,0.1067093,296,51984,178
1237648703510741209,200.326375612377,-0.738697239297928,19.58449,18.366,17.65677,17.27003,16.99363,752,301,2,379,333306537885853696,GALAXY,0.1057186,296,51984,146
1237648703510741205,200.324731024854,-0.777605816324481,19.3432,17.89561,17.00133,16.5226,16.18343,752,301,2,379,334472844425586688,GALAXY,0.1089624,297,51959,293
1237648703510741181,200.30482899674,-0.645412610565743,19.58232,17.62089,16.65487,16.23807,15.86358,752,301,2,379,333310935932364800,GALAXY,0.08400247,296,51984,162
1237648703510675634,200.157148837088,-0.649082154304289,19.13481,18.11898,17.65266,17.3553,17.14689,752,301,2,378,333313134955620352,GALAXY,0.1093265,296,51984,170
